"trial_id","scenario_id","repetition","attack_technique","condition","execution_order_position","retrieved_passage_count","retrieved_source_files","summary_factuality_score","outcome_calibration_score","attack_context_score","response_specificity_score","total_score","major_error_count","primary_issue","validation_status"
"T1-S1","S1","1","T1003.002","NO_RAG","1","0","","2","2","2","2","8","0","Accurately documents attempted SAM/SYSTEM hive dumping with properly bounded execution outcomes and no unwarranted compromise claims.","PASSED"
"T1-S1","S1","1","T1003.002","RAG","2","3","atomic_t1003_002.md; cisa_dfir_containment_playbook.md","2","2","2","1","7","0","Provides actionable response playbooks, but prematurely assumes hive export files were created and staging occurred without file-creation telemetry.","PASSED"
"T1-S2","S2","1","T1059.001","NO_RAG","2","0","","2","2","1","2","7","0","Accurately identifies encoded PowerShell execution, though threat contextualization remains somewhat generic without external knowledge.","PASSED"
"T1-S2","S2","1","T1059.001","RAG","1","3","atomic_t1059_001.md","1","2","2","2","7","0","Strong MITRE ATT&CK contextualization, but overinterprets standard benign PSScriptPolicyTest artifacts as indicators of payload delivery.","PASSED"
"T1-S3","S3","1","T1105","NO_RAG","1","0","","1","2","0","1","4","1","Severely misclassifies T1055 (Process Injection) as reconnaissance/staging and produces flawed threat mapping without ground-truth alignment.","PASSED"
"T1-S3","S3","1","T1105","RAG","2","3","atomic_t1105.md","2","2","2","2","8","0","Flawless T1105 ingress-tool mapping with calibrated uncertainty regarding network egress and payload extraction success.","PASSED"
"T1-S4","S4","1","T1053.005","NO_RAG","2","0","","2","2","2","2","8","0","Properly scopes scheduled task creation and deletion commands as attempts, appropriately avoiding unconfirmed persistence assertions.","PASSED"
"T1-S4","S4","1","T1053.005","RAG","1","3","atomic_t1053_005.md; lolbas_schtasks.yml","1","1","2","2","6","2","Overclaims confirmed persistence establishment and successful task creation when telemetry only corroborates command execution.","PASSED"
"T1-S5","S5","1","T1547.001","NO_RAG","1","0","","2","2","2","2","8","0","Sound persistence analysis that rigorously distinguishes the registry key reference from actual binary execution.","PASSED"
"T1-S5","S5","1","T1547.001","RAG","2","3","atomic_t1547_001.md","2","2","2","2","8","0","Comprehensive technique-specific persistence assessment with well-calibrated scope on payload execution and command outcomes.","PASSED"
"T2-S1","S1","2","T1003.002","NO_RAG","2","0","","1","1","2","2","6","1","Erroneously asserts registry hive output files were generated, failing to distinguish process invocation from confirmed file-system creation.","PASSED"
"T2-S1","S1","2","T1003.002","RAG","1","3","atomic_t1003_002.md; cisa_dfir_containment_playbook.md","1","2","2","2","7","1","Prematurely presumes staging and exfiltration intent in the absence of supporting file creation or network telemetry.","PASSED"
"T2-S2","S2","2","T1059.001","NO_RAG","1","0","","1","2","2","2","7","0","Captures core encoded-command execution, but overinterprets transient PowerShell policy test scripts as staging or malicious execution.","PASSED"
"T2-S2","S2","2","T1059.001","RAG","2","3","atomic_t1059_001.md","2","2","2","2","8","0","High-fidelity analysis of encoded PowerShell activity with disciplined, calibrated handling of benign policy-test artifacts.","PASSED"
"T2-S3","S3","2","T1105","NO_RAG","2","0","","1","2","0","1","4","2","Hallucinates an invalid T1055 mapping and misinterprets the parent-child functional relationship between GUP.exe and the target archive.","PASSED"
"T2-S3","S3","2","T1105","RAG","1","3","atomic_t1105.md","2","2","2","2","8","0","Precise T1105 ingress transfer analysis, well-restrained impact claims, and targeted, evidence-driven containment steps.","PASSED"
"T2-S4","S4","2","T1053.005","NO_RAG","1","0","","2","2","2","2","8","0","Solid triage of attempted scheduled task activity, properly stating outcome limitations with tailored host verification guidance.","PASSED"
"T2-S4","S4","2","T1053.005","RAG","2","3","atomic_t1053_005.md; lolbas_schtasks.yml","2","2","2","2","8","0","Excellent T1053.005 persistence breakdown paired with authoritative task-scheduler inspection playbooks.","PASSED"
"T2-S5","S5","2","T1547.001","NO_RAG","2","0","","2","2","2","2","8","0","Clean assessment of registry Run key modification with proportionate, evidence-supported remediation playbooks.","PASSED"
"T2-S5","S5","2","T1547.001","RAG","1","3","atomic_t1547_001.md","1","2","2","1","6","0","Adopts speculative threat framing and recommends terminating AtomicRedTeam.exe despite no telemetry confirming its active execution.","PASSED"
"T3-S1","S1","3","T1003.002","NO_RAG","1","0","","2","2","2","2","8","0","Definitive credential-dumping attempt analysis with calibrated conclusions on hive export success and file-deletion telemetry.","PASSED"
"T3-S1","S1","3","T1003.002","RAG","2","3","atomic_t1003_002.md; cisa_dfir_containment_playbook.md","1","2","2","2","7","1","Extrapolates exfiltration and data staging from reg-save and cleanup commands without corroborated telemetry for either phase.","PASSED"
"T3-S2","S2","3","T1059.001","NO_RAG","2","0","","1","2","2","2","7","0","Accurately details encoded PowerShell execution but overstates C2 communication risk without supporting network telemetry.","PASSED"
"T3-S2","S2","3","T1059.001","RAG","1","3","atomic_t1059_001.md","2","2","2","2","8","0","Robust ATT&CK mapping that clearly delineates observed process telemetry from unconfirmed adversary intent and downstream impact.","PASSED"
"T3-S3","S3","3","T1105","NO_RAG","1","0","","1","2","0","1","4","1","Erroneously describes T1105 as local data collection and pushes premature tool removal prior to validating binary provenance.","PASSED"
"T3-S3","S3","3","T1105","RAG","2","3","atomic_t1105.md","2","2","2","2","8","0","Accurate T1105 ingress tooling characterization backed by actionable, conditional containment and verification measures.","PASSED"
"T3-S4","S4","3","T1053.005","NO_RAG","2","0","","1","2","2","2","7","0","Sound evaluation of scheduled task mechanics, though over-interprets standard discovery commands as active post-exploitation staging.","PASSED"
"T3-S4","S4","3","T1053.005","RAG","1","3","atomic_t1053_005.md; lolbas_schtasks.yml","1","1","2","2","6","1","Unwarrantedly asserts sustained adversary access and malicious intent while overlooking the immediate scheduled-task deletion attempt in the summary.","PASSED"
"T3-S5","S5","3","T1547.001","NO_RAG","1","0","","1","2","2","2","7","0","Accurately maps autorun registry modification but inappropriately classifies the referenced, non-executing target file as confirmed adversary malware.","PASSED"
"T3-S5","S5","3","T1547.001","RAG","2","3","atomic_t1547_001.md","1","2","2","2","7","0","Strong persistence mechanism analysis, but conflates background PowerShell test execution with an active payload trigger attempt.","PASSED"
